,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers,149,228,347,976,557,74.62,114.18,173.35,88.76,37.15,38.52,37.38,74.94,50.28,20.25
Healthcare Practitioners and Technical Occupations,Miscellaneous Health Technologists and Technicians,1394,1677,3966,6497,5195,15.67,13.63,12.59,28.62,26.92,6.38,5.16,7.62,12.8,14.86
Healthcare Practitioners and Technical Occupations,Miscellaneous Healthcare Diagnosing or Treating Practitioners,8,166,338,832,307,,,,208.12,,,,,59.93,
Healthcare Practitioners and Technical Occupations,Nurse Anesthetists,422,1299,1422,1040,700,70.33,129.92,157.98,346.53,350.14,26.87,37.92,57.84,99.26,148.99
Healthcare Practitioners and Technical Occupations,Nurse Midwives,299,783,2636,1898,1578,12.47,30.12,659.07,1897.64,788.91,3.13,2.46,56.26,178.45,298.4
Healthcare Practitioners and Technical Occupations,Nurse Practitioners,147,823,1579,1874,1902,8.64,205.78,526.49,624.72,317.06,5.12,45.99,85.44,130.52,132.32
Healthcare Practitioners and Technical Occupations,"Opticians, Dispensing",155,77,134,469,316,4.57,3.85,4.32,4.01,4.33,2.91,2.85,2.79,2.44,2.47
Healthcare Practitioners and Technical Occupations,Optometrists,0,0,133,473,287,,,22.22,42.99,20.47,,,12.19,27.06,10.26
Healthcare Practitioners and Technical Occupations,"Pediatricians, General",651,531,611,13146,13454,50.09,33.21,46.97,285.77,407.68,16.44,11.27,18.7,110.19,191.24
Healthcare Practitioners and Technical Occupations,Pharmacists,593,1159,1799,1631,3631,,,,326.11,605.08,,,,92.62,264.03
Healthcare Practitioners and Technical Occupations,Physician Assistants,1225,3160,3530,4168,3407,87.52,90.29,147.07,245.16,170.34,44,34.02,40.27,65.99,81.64
Healthcare Practitioners and Technical Occupations,Physicians,410,1145,1472,5335,147387,22.76,190.79,210.29,7.06,15.19,11.71,67.48,61.48,1.36,1.06
Healthcare Practitioners and Technical Occupations,Registered Nurses,83516,118029,156879,197517,213371,54.66,167.42,223.79,89.25,82.57,21.88,40.63,60.07,25.39,38.17
Healthcare Practitioners and Technical Occupations,Surgeons,3,157,512,448,528,,157.33,,,131.9,,42.86,,,59.94
Healthcare Practitioners and Technical Occupations,Therapists,5267,21175,23383,12125,13167,83.6,15.23,179.87,288.69,223.16,53.58,2.88,71.6,110.32,101.19
Healthcare Practitioners and Technical Occupations,Veterinarians,908,1363,156,10461,5764,181.53,54.51,39.06,183.53,67.02,71.55,21.79,21.17,72.16,35.76
Healthcare Support Occupations,Home Health and Personal Care Aides,11602,15368,8608,9403,14023,14.54,20.38,15.82,11.27,11.05,6.04,8.47,6.44,3.99,4.29
Healthcare Support Occupations,Massage Therapists,1,1,44,1,1,,,22.19,,,,,7.39,,
Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,94382,10649,13208,21683,18487,14.99,95.08,180.93,108.96,118.51,0.37,29.19,53.53,35.55,57.23
Healthcare Support Occupations,"Nursing Assistants, Orderlies, and Psychiatric Aides",9341,13572,15454,12364,11899,20.04,25.37,26.88,24.39,30.51,6.56,8.21,8.48,7.49,13.57
Healthcare Support Occupations,Occupational Therapy Assistants and Aides,3212,6688,5691,5335,6511,52.65,76,58.08,73.08,114.23,25.9,23.25,18.39,25.52,61.37
Healthcare Support Occupations,Physical Therapist Assistants and Aides,4272,3361,7805,10475,8689,73.65,258.57,86.73,113.85,95.48,33.79,52.53,26.6,40.18,47.81
"Installation, Maintenance, and Repair Occupations",Aircraft Mechanics and Service Technicians,198,94,112,166,15,49.38,23.57,111.68,83.17,14.69,26.8,10.06,57.26,43.12,8.46
"Installation, Maintenance, and Repair Occupations",Automotive Technicians and Repairers,3402,260,576,3266,4537,69.43,12.38,27.44,163.32,2268.31,24.09,7.38,16.24,38.98,471.36
"Installation, Maintenance, and Repair Occupations",Bus and Truck Mechanics and Diesel Engine Specialists,3533,2596,3618,3489,2512,20.3,17.78,16.45,21.54,21.29,14.46,12.16,8.01,17.5,14.63
"Installation, Maintenance, and Repair Occupations","Computer, Automated Teller, and Office Machine Repairers",144,34,19,19,56,20.56,17.11,,18.98,27.99,10.01,17.11,,17.85,25.65
"Installation, Maintenance, and Repair Occupations",Control and Valve Installers and Repairers,1923,642,125,298,228,,,124.72,4.72,7.35,,,48.21,2.83,5.53
"Installation, Maintenance, and Repair Occupations","First-Line Supervisors of Mechanics, Installers, and Repairers",5014,7599,4856,4966,4749,22.79,13.92,11.14,10.96,19.15,10.21,6.03,6.49,6.43,8.06
"Installation, Maintenance, and Repair Occupations","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2478,1302,233,1634,1353,14.08,6.2,25.85,4.86,7.12,5.18,3.43,12.89,2.96,5.62
"Installation, Maintenance, and Repair Occupations",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,554,1269,659,151,456,19.09,12.32,13.45,18.93,10.61,13.17,4.36,7.92,8.98,7.68
"Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",2984,4285,3079,2146,3509,28.69,15.58,21.09,32.04,20.28,15.12,7.84,10.76,17.04,10.23
"Installation, Maintenance, and Repair Occupations",Line Installers and Repairers,10,2316,5,1,4,,,,,,,,,,
"Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General",28285,48673,10437,20700,29127,26.99,31.32,4.03,21.68,30.44,7.26,5.21,1.96,8.58,9.63
"Installation, Maintenance, and Repair Occupations","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1292,1095,1462,1606,1747,41.69,9.12,13.41,7.58,8.2,15.19,6.37,8.66,4.64,4.04
"Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",1556,1476,1175,868,794,62.25,13.06,51.07,26.29,37.81,30.5,6.56,25.83,13.49,21.4
"Installation, Maintenance, and Repair Occupations","Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",284,584,308,312,346,11.34,29.2,30.8,20.79,14.42,10.25,19.79,26.24,18.03,11.5
"Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers,410,485,390,460,411,34.19,5.77,55.69,46.03,51.42,18.11,3.45,22.31,23.78,20.73
"Installation, Maintenance, and Repair Occupations",Radio and Telecommunications Equipment Installers and Repairers,45790,57128,6962,19,275,635.97,340.05,70.33,3.71,6.87,56.13,23.29,12.55,2.87,4.55
"Installation, Maintenance, and Repair Occupations",Small Engine Mechanics,242,115,0,0,0,242.3,57.73,,,,90.43,36.74,,,
"Installation, Maintenance, and Repair Occupations",Wind Turbine Service Technicians,643,609,327,508,593,27.97,28.98,40.88,46.22,98.89,16.03,15.21,19.88,28.75,67.46
Legal Occupations,"Judges, Magistrates, and Other Judicial Workers",198,11,27,19,84,32.99,,,,42.18,8.09,,,,27.59
Legal Occupations,Lawyers and Judicial Law Clerks,747,1126,458,553,1447,28.73,56.31,21.81,138.3,111.34,11.74,15.04,14.8,57.15,29.28
Legal Occupations,Miscellaneous Legal Support Workers,98,44,14,25,42,24.59,,14.02,,,21.8,,12.01,,
Legal Occupations,Paralegals and Legal Assistants,30914,445,1123,296,69,11.6,2.39,4.19,11.4,11.56,0.05,1.14,3.86,6.39,6.47
"Life, Physical, and Social Science Occupations",Agricultural and Food Science Technicians,3,8,8,9,178,2.77,0.7,,,88.9,2.28,0.61,,,35.56
"Life, Physical, and Social Science Occupations",Agricultural and Food Scientists,4,3,1,0,31,3.76,,,,7.83,3.38,,,,4.02
"Life, Physical, and Social Science Occupations",Astronomers and Physicists,47,0,0,0,0,46.71,,,,,46.71,,,,
"Life, Physical, and Social Science Occupations",Atmospheric and Space Scientists,0,0,0,0,0,,,,,,,,,,
"Life, Physical, and Social Science Occupations",Biological Scientists,350,255,182,73,65,20.58,19.61,15.18,12.21,16.16,8.37,7.48,6.22,6.61,5.72
"Life, Physical, and Social Science Occupations",Biological Technicians,836,1560,1190,2442,1550,4.98,5.51,7.39,2.98,1.9,2.63,3.38,3.31,1.73,1.73
"Life, Physical, and Social Science Occupations",Chemical Technicians,38,12,55,59,182,18.9,6.23,1.44,2.2,7.29,10.28,3.5,0.87,0.82,4.4
"Life, Physical, and Social Science Occupations",Chemists and Materials Scientists,337,1568,3760,464,236,17.73,9.74,5.36,10.55,47.15,10.54,1.63,1.15,1.63,24.38
"Life, Physical, and Social Science Occupations",Conservation Scientists and Foresters,1,606,54,1,0,,22.44,27,,,,2.73,15.57,,
"Life, Physical, and Social Science Occupations",Economists,12,0,11,0,1,,,,,,,,,,
"Life, Physical, and Social Science Occupations",Environmental Science and Geoscience Technicians,15,130,13,41,22,15.03,129.89,,41.26,22.22,5.08,45.2,,27.43,10.62
"Life, Physical, and Social Science Occupations",Environmental Scientists and Geoscientists,578,326,892,234,602,48.15,10.53,11.15,17.99,14.33,19.8,6.43,7.49,9.39,7.16
"Life, Physical, and Social Science Occupations",Forest and Conservation Technicians,0,0,52,221,2,,,17.2,27.6,,,,9,9.76,
"Life, Physical, and Social Science Occupations",Medical Scientists,1693,4102,8463,11847,10640,1.89,1.75,2.59,2.26,2.2,1.68,1.46,1.94,1.93,1.99
"Life, Physical, and Social Science Occupations","Miscellaneous Life, Physical, and Social Science Technicians",284,1253,1060,565,861,1.4,7.12,19.27,19.5,34.43,0.75,2.94,8.58,8.17,17.07
"Life, Physical, and Social Science Occupations",Miscellaneous Social Scientists and Related Workers,16,22,17,15,12,16.33,,2.83,5.16,1.48,11.01,,2.19,3.54,0.95
"Life, Physical, and Social Science Occupations",Nuclear Technicians,2,2,1,0,0,,,,,,,,,,
"Life, Physical, and Social Science Occupations",Occupational Health and Safety Specialists and Technicians,1120,829,3590,1036,1864,10.87,12.37,42.23,11.14,23.29,8.83,6.03,16.01,5.44,5.95
"Life, Physical, and Social Science Occupations",Psychologists,401,1316,1530,693,599,57.29,16.25,25.93,13.59,22.17,31.81,8.57,13.03,6.76,10.66
"Life, Physical, and Social Science Occupations",Social Science Research Assistants,0,899,3603,13644,3445,,1.2,1.94,3.99,3.78,,1.03,1.38,0.75,0.5
"Life, Physical, and Social Science Occupations",Sociologists,2,2246,6773,0,0,,26.42,19.75,0,,,0.93,1.01,1,
"Life, Physical, and Social Science Occupations",Survey Researchers,115929,97681,55657,6907,2777,7.16,7,4.87,1.72,2.07,0.71,0.78,0.9,0.66,1.08
"Life, Physical, and Social Science Occupations",Urban and Regional Planners,50,63,66,38,38,,,,,,,,,,
Management Occupations,Administrative Services and Facilities Managers,619,3111,3325,1769,2590,13.18,9.94,31.66,25.27,10.93,5.85,3.89,14.72,12.6,4.31
Management Occupations,Advertising and Promotions Managers,6919,2298,3011,2506,7030,36.42,7.14,8.78,11.99,24.24,20.9,4.75,5.7,4.81,7.42
Management Occupations,Architectural and Engineering Managers,1409,2341,3459,1878,1604,11.09,16.04,21.09,12.69,16.04,4.72,6.1,10.72,6.78,10.03
Management Occupations,Chief Executives,64,316,327,509,362,15.89,22.55,1.9,2.49,10.04,12.22,11.15,1.4,1.45,5.94
Management Occupations,Compensation and Benefits Managers,1246,950,196,419,1449,22.25,21.6,12.26,10.49,131.73,10.83,9.37,7.56,5.23,19.35
Management Occupations,Computer and Information Systems Managers,942,536,1478,161,275,19.62,25.54,16.99,32.2,14.47,15.33,7.5,2.89,18.83,8.73
Management Occupations,Construction Managers,4860,2507,4226,8474,7303,14.3,9.36,12.36,7.71,5.64,7.82,5.73,6.11,4.14,3.05
Management Occupations,Education and Childcare Administrators,3800,7623,10185,2227,1919,16.67,16.68,22.29,12.1,13.32,13.59,12.91,16.13,6.1,5.77
Management Occupations,Emergency Management Directors,18,0,754,157,3,18.2,,188.58,22.49,,6.28,,40.86,10.59,
Management Occupations,Entertainment and Recreation Managers,136,36,167,357,165,136.42,18.19,23.83,13.23,11.78,69,9.67,11.69,9.05,4.05
Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",641,441,70,94,98,35.6,33.89,35.08,,98.41,14.89,14.89,20.43,,48.21
Management Occupations,Financial Managers,9602,11310,17762,5668,10518,30.19,19.04,31.22,18.64,22.72,24.2,14.13,24.48,11.39,15.02
Management Occupations,Food Service Managers,1048,456,863,1901,1238,1.04,3.3,3.96,7.64,8.84,0.52,1.95,2.32,4.75,3.65
Management Occupations,General and Operations Managers,10715,2081,3732,2484,2838,25.95,7.97,20.28,12.36,11.87,9.35,2.73,9.1,6.2,6.61
Management Occupations,Human Resources Managers,5415,2216,7103,2024,5351,35.16,8.94,28.99,6.91,12.56,31.69,5.92,11.62,3.63,6.43
Management Occupations,Industrial Production Managers,4148,5019,4705,3244,2955,19.29,7.69,10.82,10.53,11.37,12.5,3.55,6.27,5.39,6.38
Management Occupations,Legislators,49,111,100,27,46,24.39,,,,,20.11,,,,
Management Occupations,Lodging Managers,304,1222,364,86,52,8.22,11.42,10.11,10.72,10.44,6.04,7.61,6.91,8.07,6.35
Management Occupations,Marketing and Sales Managers,36995,27530,52218,22901,22276,25.62,8.17,23.89,8.01,9.85,11.62,4.37,11.77,3.73,4.72
Management Occupations,Medical and Health Services Managers,1508,1664,3344,8488,10190,22.5,14.73,92.89,41.41,44.11,10.07,4.96,34.76,20.88,23.53
Management Occupations,Miscellaneous Managers,2938,5687,1941,451,734,8.59,18.89,7.79,4.79,8.84,7.81,8.81,4.47,1.95,3.1
Management Occupations,Natural Sciences Managers,610,320,536,83,2020,17.93,6.95,24.38,3.2,26.24,12.78,6.03,11.84,2.9,14.15
Management Occupations,Personal Service Managers,236,422,583,208,246,13.91,4.91,11.9,9.89,10.72,9.39,3.33,9.99,4.8,6.15
Management Occupations,"Property, Real Estate, and Community Association Managers",912,715,304,274,182,15.73,24.65,8.43,22.84,30.28,8.48,13.72,6.95,15.48,22.56
Management Occupations,Public Relations and Fundraising Managers,293,323,233,1760,4096,1.57,2.46,3.48,27.5,16.45,0.61,1.34,1.99,10.46,7.13
Management Occupations,Purchasing Managers,7462,1843,818,1254,1933,42.88,23.93,12.79,21.62,37.91,32.05,7.79,8.76,5.49,17.08
Management Occupations,Social and Community Service Managers,453,857,661,82,1158,11.32,13.6,12.96,,24.13,5.33,5.27,5.01,,10.18
Management Occupations,Training and Development Managers,72,759,1524,571,553,71.58,12.05,6.02,11.66,6.35,49.28,5.41,4.18,4.85,3.85
Management Occupations,"Transportation, Storage, and Distribution Managers",1242,3987,7062,5273,4341,9.78,9.89,9.91,12.01,7.2,5.5,4.62,5.41,4.68,4.34
Military Specific Occupations,First-Line Enlisted Military Supervisors,0,0,0,6,16,,,,5.78,,,,,4.76,
Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,5328,1,1,47,149,8.71,,,,,7.37,,,,
Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,21,22,63,26,51,20.71,,31.32,25.65,,20.71,,14.69,24.45,
Office and Administrative Support Occupations,Bill and Account Collectors,1518,1298,1138,787,974,15.18,4.69,8.62,4.21,5.15,10.74,3.52,6.37,2.58,3.77
Office and Administrative Support Occupations,Billing and Posting Clerks,611,276,322,124,104,20.35,1.52,20.11,6.9,5.21,10.77,1.02,10.7,3.74,2.54
Office and Administrative Support Occupations,"Bookkeeping, Accounting, and Auditing Clerks",2626,3290,18710,3271,6032,14.27,5.66,21.93,11.94,13.9,7.71,2.36,12.85,6.55,8.47
Office and Administrative Support Occupations,Brokerage Clerks,27,3,66,432,153,13.39,,66.42,216.02,38.13,12.39,,22.26,160.14,28.15
Office and Administrative Support Occupations,Cargo and Freight Agents,170,109,564,33,96,24.26,36.21,43.39,32.93,8.69,17.42,26.56,20.07,20.17,4.35
Office and Administrative Support Occupations,Correspondence Clerks,208,99,16,1,10,,,,,,,,,,
Office and Administrative Support Occupations,Couriers and Messengers,29642,27962,25493,16126,14546,18.96,22.96,15.88,10.41,9.7,14.48,12.14,8.67,5.78,5.06
Office and Administrative Support Occupations,"Court, Municipal, and License Clerks",2,26,7,1,1,,,7.26,,,,,5.81,,
Office and Administrative Support Occupations,"Credit Authorizers, Checkers, and Clerks",3,0,0,0,0,,,,,,,,,,
Office and Administrative Support Occupations,Customer Service Representatives,18121,18067,19072,15662,8062,11.93,9.7,10.84,13.65,13.35,8.3,7.07,7.68,7.87,8.06
Office and Administrative Support Occupations,Data Entry and Information Processing Workers,601,0,3901,7,20,21.47,0,2.67,0.27,20.35,13.09,0,2.6,0.27,8.66
Office and Administrative Support Occupations,Dispatchers,2452,1244,1433,1605,1096,18.16,11.63,2.78,6.08,2.47,8.84,5.02,1.57,1.87,1.82
Office and Administrative Support Occupations,"Eligibility Interviewers, Government Programs",16563,11676,12845,19851,14731,150.58,132.69,169.01,168.23,151.87,103.66,99.15,105.61,104.73,103.37
Office and Administrative Support Occupations,File Clerks,393,585,212,430,118,23.12,38.99,70.65,85.93,118.09,12.74,28.35,38.36,46.23,70.79
Office and Administrative Support Occupations,First-Line Supervisors of Office and Administrative Support Workers,8637,9588,5942,6799,6303,13.95,14.14,27.63,25,20.53,7.47,5.74,13.65,12.08,11.39
Office and Administrative Support Occupations,Gambling Cage Workers,0,0,0,6,0,,,,5.98,,,,,2.2,
Office and Administrative Support Occupations,"Hotel, Motel, and Resort Desk Clerks",62,39,295,33,250,2.95,2.6,10.55,10.92,6.75,2.55,2.39,3.94,10.36,2.01
Office and Administrative Support Occupations,"Human Resources Assistants, Except Payroll and Timekeeping",1687,843,1197,649,785,28.59,35.11,49.89,19.67,19.14,9.35,15.86,21.51,11.58,10.61
Office and Administrative Support Occupations,Insurance Claims and Policy Processing Clerks,135,380,391,592,323,11.28,16.52,55.81,19.1,80.73,5.76,6.18,31.56,9.58,41.01
Office and Administrative Support Occupations,"Interviewers, Except Eligibility and Loan",177263,150559,149256,107260,89836,4.68,6.48,6.67,5.68,5.68,1.4,1.43,1.36,1.29,1.46
Office and Administrative Support Occupations,"Library Assistants, Clerical",0,0,0,0,0,,,,,,,,,,
Office and Administrative Support Occupations,Loan Interviewers and Clerks,130,154,360,4,149,9.99,21.95,71.99,,149.4,5.87,10,41.18,,76.23
Office and Administrative Support Occupations,"Mail Clerks and Mail Machine Operators, Except Postal Service",24,3,5,4,1,12.01,,,,,9.53,,,,
Office and Administrative Support Occupations,"Meter Readers, Utilities",0,42,14,0,35,,8.36,7.08,,17.48,,1,1,,1
Office and Administrative Support Occupations,Miscellaneous Communications Equipment Operators,2,1,0,0,1,,,,,,,,,,
Office and Administrative Support Occupations,Miscellaneous Financial Clerks,1,205,2,6,2,,22.73,,,2.24,,8.18,,,1.59
Office and Administrative Support Occupations,Miscellaneous Office and Administrative Support Workers,356,66,34,225,20,89.03,,11.35,224.77,19.88,43.74,,8.15,109.23,11.56
Office and Administrative Support Occupations,New Accounts Clerks,1978,3388,989,4477,2348,27.47,21.04,19.02,47.63,41.19,14.44,7.53,5.65,32.85,28.07
Office and Administrative Support Occupations,"Office Clerks, General",1294,889,2879,1280,430,23.96,6.69,3.67,16.84,20.46,15.25,3.39,3.2,9.15,11.86
Office and Administrative Support Occupations,"Office Machine Operators, Except Computer",4,1,0,0,0,,,,,,,,,,
Office and Administrative Support Occupations,Order Clerks,1567,1199,544,82,726,13.87,18.74,9.06,5.89,45.38,10.97,14.35,4.7,3.5,23.02
Office and Administrative Support Occupations,Payroll and Timekeeping Clerks,7272,3844,1749,1196,2257,22.94,33.72,5.55,27.8,34.2,9.75,17.44,3.09,15.66,20.93
Office and Administrative Support Occupations,Postal Service Workers,15,153,561,69,164,,25.55,140.3,69.36,1.8,,23.1,104.05,49.14,1.24
Office and Administrative Support Occupations,Procurement Clerks,701,809,1287,1380,2940,70.1,25.29,19.21,23.4,23.15,29.68,12.46,11.72,7.76,3.72
Office and Administrative Support Occupations,"Production, Planning, and Expediting Clerks",475,380,739,1035,615,19.81,6.44,14.77,17.26,18.08,5.85,4.95,7.88,8.86,8.57
Office and Administrative Support Occupations,Proofreaders and Copy Markers,0,0,0,0,0,,,,,,,,,,
Office and Administrative Support Occupations,Receptionists and Information Clerks,1924,1049,2187,4008,2175,5.54,2.4,3.47,8.49,5.71,2.29,1.26,1.92,3.75,2.27
Office and Administrative Support Occupations,Reservation and Transportation Ticket Agents and Travel Clerks,0,0,0,2,0,,,,,,,,,,
Office and Administrative Support Occupations,Secretaries and Administrative Assistants,7493,12576,18522,11102,13670,13.77,10.51,5.62,12.01,15.22,6.7,4.97,4.09,6.15,7.25
Office and Administrative Support Occupations,"Shipping, Receiving, and Inventory Clerks",8419,1101,1939,1249,507,57.66,2.6,6.34,20.82,14.92,29.88,1.76,3.09,10.61,5.75
Office and Administrative Support Occupations,"Switchboard Operators, Including Answering Service",10,105,528,90,4,5.15,105.1,,,3.95,4.93,46.81,,,2.72
Office and Administrative Support Occupations,Telephone Operators,1,0,0,0,0,,,,,,,,,,
Office and Administrative Support Occupations,Tellers,3813,3222,852,134,286,34.04,27.54,35.49,44.77,28.63,26.69,19.65,30.92,31.99,18.33
Office and Administrative Support Occupations,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",368,151,32,70,6,24.56,2.96,16.24,23.31,6.03,12.2,1.78,7.85,7.37,3.43
Personal Care and Service Occupations,Animal Caretakers,0,17,5,4,10,,,,,,,,,,
Personal Care and Service Occupations,Animal Trainers,62,154,66,72,85,6.88,5.7,13.16,14.4,5.67,3.44,2.85,3.4,4.19,2.52
Personal Care and Service Occupations,"Baggage Porters, Bellhops, and Concierges",599,508,557,437,157,11.31,9.97,11.85,9.49,13.05,3.68,3.53,4.18,3.11,3.71
Personal Care and Service Occupations,"Barbers, Hairdressers, Hairstylists and Cosmetologists",237,2597,1135,392,18,21.56,68.34,81.1,195.81,18.09,18.33,56.01,69.13,195.69,10.21
Personal Care and Service Occupations,Childcare Workers,1474,996,1683,1399,1621,19.15,13.28,20.28,15.89,23.15,9.56,6.33,9.08,6.52,10.23
Personal Care and Service Occupations,Embalmers and Crematory Operators,34,0,0,1,2,,,,,,,,,,
Personal Care and Service Occupations,First-Line Supervisors of Entertainment and Recreation Workers,5,0,77,172,73,4.83,,25.73,57.29,18.18,4.67,,13.75,52.74,8.31
Personal Care and Service Occupations,First-Line Supervisors of Personal Service Workers,28,5,6,2,14,,,,,,,,,,
Personal Care and Service Occupations,Funeral Attendants,1,0,0,0,0,,,,,,,,,,
Personal Care and Service Occupations,Gambling Services Workers,130654,129196,128897,130928,118364,51.34,50.61,52.76,45.56,46.49,34.05,32.22,33.12,31.01,31.41
Personal Care and Service Occupations,Miscellaneous Entertainment Attendants and Related Workers,399,1672,184,10,34,19.93,22,10.82,4.81,1.97,16.96,3.88,5.21,3.52,1.33
Personal Care and Service Occupations,Miscellaneous Personal Appearance Workers,47,308,59,39,3,7.89,43.99,19.82,19.33,,2.66,30.61,14.87,8.1,
Personal Care and Service Occupations,Miscellaneous Personal Care and Service Workers,2952,2304,1429,3912,1782,86.83,57.59,84.04,170.1,59.39,43.17,28.11,43.07,100.88,31.53
Personal Care and Service Occupations,"Morticians, Undertakers, and Funeral Arrangers",0,0,0,3,0,,,,,,,,,,
Personal Care and Service Occupations,Recreation and Fitness Workers,889,1664,1815,1357,1218,7,11.64,10.87,8.81,10.68,2.23,4.1,3.84,3.37,4
Personal Care and Service Occupations,Residential Advisors,26,129,31,65,172,,,,21.51,85.95,,,,15.81,64.74
Personal Care and Service Occupations,Tour and Travel Guides,4,5,6,3,0,,,,,,,,,,
Personal Care and Service Occupations,"Ushers, Lobby Attendants, and Ticket Takers",3203,6481,0,7,13,8.03,8.09,0,,,1.95,1.87,0,,
Production Occupations,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",6,56,216,20,40,2.77,4.27,72,20,20.17,2.68,1.33,40.67,14,4.33
Production Occupations,Bakers,1,6,6,0,54,,3.1,6.2,,3.2,,2.48,5.16,,2.38
Production Occupations,"Butchers and Other Meat, Poultry, and Fish Processing Workers",14,3,8,5,83,3.4,1.15,3.97,,2.43,2.1,0.73,1.9,,1.73
Production Occupations,Cabinetmakers and Bench Carpenters,0,0,0,0,0,,,,,,,,,,
Production Occupations,"Chemical Processing Machine Setters, Operators, and Tenders",87,27,1,2,2,86.74,,,,2.4,44.66,,,,1.7
Production Occupations,Computer Numerically Controlled Tool Operators and Programmers,1243,1274,1307,981,1473,21.81,18.2,6.85,16.62,17.97,11.55,10.82,4.18,8.74,9.27
Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",1112,483,291,242,264,74.14,48.31,58.12,121.17,32.95,35.13,32.67,26.07,64.18,17.82
Production Occupations,Cutting Workers,10,2,108,28,22,3.37,,6.34,13.99,,2.05,,3.66,8.37,
Production Occupations,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,117,3,50,53,352,4.49,,,,,3,,,,
Production Occupations,"Electrical, Electronics, and Electromechanical Assemblers",1091,1363,572,472,1639,21.39,4.44,6.09,9.45,13.77,8.89,1.97,3.04,5.27,4.64
Production Occupations,Engine and Other Machine Assemblers,4,4,105,53,0,,,2.77,10.51,,,,2.72,5.48,
Production Occupations,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1,1,51,71,3,,,10.23,70.99,,,,5.54,33.19,
Production Occupations,Fiberglass Laminators and Fabricators,2,1,0,0,0,,,,,,,,,,
Production Occupations,First-Line Supervisors of Production and Operating Workers,6521,8368,6836,5722,7149,14.21,7.39,5.46,11.42,11.89,9.76,3.51,3.06,5.44,6.33
Production Occupations,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",163,118,0,2,9,40.64,2.62,,,,21.12,2.61,,,
Production Occupations,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,0,0,0,0,,,,,,,,,,
Production Occupations,Furniture Finishers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Production Occupations,"Inspectors, Testers, Sorters, Samplers, and Weighers",107,160,304,130,241,11.86,5.53,9.21,4.48,26.83,8.71,4.16,5.76,2.51,10.65
Production Occupations,Laundry and Dry-Cleaning Workers,28,571,428,108,241,4.7,15.85,3.37,26.98,26.76,3.79,8.91,1.11,23.95,16.54
Production Occupations,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",221,186,62,68,103,18.42,11.61,12.3,4.22,9.41,11.35,8.37,9.52,2.34,4.94
Production Occupations,Machinists,1531,950,690,605,1694,35.6,6.89,6.05,16.36,26.05,10.21,3.81,4.44,6.67,6.21
Production Occupations,"Metal Furnace Operators, Tenders, Pourers, and Casters",1,0,27,36,2,,,,,,,,,,
Production Occupations,Miscellaneous Assemblers and Fabricators,2410,2177,5010,7208,4044,10.09,7.02,5.61,7.93,15.03,8.02,5.53,3.76,5.23,10.97
Production Occupations,Miscellaneous Food Processing Workers,147,190,5084,566,31,8.65,1.43,6.21,14.88,3.45,7.07,1.21,3.16,7.9,2.69
Production Occupations,Miscellaneous Metal Workers and Plastic Workers,0,3,1,2,29,,,,,1.04,,,,,1.03
Production Occupations,Miscellaneous Plant and System Operators,13,13,4,327,62,,,2.08,109.07,10.29,,,2.07,72.24,6.59
Production Occupations,Miscellaneous Production Workers,73068,54728,60621,68273,60022,97.04,34.25,49.93,72.55,33.49,65.9,26.61,31.81,51.22,23.46
