,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Business and Financial Operations Occupations,Accountants and Auditors,19994,40987,43391,19156,10423,11,11.18,6.3,7.22,22.91,2.93,1.81,1.96,2.48,13.63
Business and Financial Operations Occupations,"Agents and Business Managers of Artists, Performers, and Athletes",2,1,0,0,0,,,,,,,,,,
Business and Financial Operations Occupations,Budget Analysts,7,1,16,1,2,6.68,,16.37,,,4.3,,5.58,,
Business and Financial Operations Occupations,Buyers and Purchasing Agents,16719,13285,16684,18790,20468,80,52.93,94.26,80.99,109.46,55.88,41.07,60.12,53.87,68.44
Business and Financial Operations Occupations,"Claims Adjusters, Appraisers, Examiners, and Investigators",3186,990,353,380,75,36.21,19.81,8.83,10.26,9.33,14.78,10.98,5.6,5.34,6.21
Business and Financial Operations Occupations,"Compensation, Benefits, and Job Analysis Specialists",724,1197,1116,678,780,5.1,8.8,1.74,0.42,3.02,3.21,4.8,0.96,0.27,1.55
Business and Financial Operations Occupations,Compliance Officers,1451,1439,1326,1355,887,31.54,16.17,21.74,19.64,23.34,22.48,11.95,8.33,8.76,9.5
Business and Financial Operations Occupations,Cost Estimators,1375,543,132,732,636,11.46,6.38,4.72,5.34,6.36,7.21,4.42,4.21,3.49,5.44
Business and Financial Operations Occupations,Credit Analysts,808,336,460,308,228,26.92,55.97,65.77,10.99,14.22,11.92,20.77,13.25,6.2,7.61
Business and Financial Operations Occupations,Credit Counselors and Loan Officers,3743,1190,1245,564,268,15.47,13.67,9.09,11.74,66.92,12,7.17,5.18,7,36.13
Business and Financial Operations Occupations,Financial Analysts and Advisors,39831,10949,33160,14959,8121,13.8,16.41,6.42,8.71,23.54,0.27,1.97,1.82,2.94,11.26
Business and Financial Operations Occupations,Financial Examiners,543,680,158,442,118,16.96,26.17,7.17,10.04,9.87,19.02,16.48,4.44,4.62,4.33
Business and Financial Operations Occupations,Fundraisers,0,0,1,0,350,,,,,26.91,,,,,13.4
Business and Financial Operations Occupations,Human Resources Workers,4774,17898,12883,12633,8034,13.37,40.22,20.95,21.67,12.69,6.24,29.7,12.36,11.79,7.08
Business and Financial Operations Occupations,Logisticians and Project Management Specialists,6506,9277,16520,6963,6085,11.96,10.03,7.08,6.75,10.19,5.26,5.91,5.02,3.66,4.25
Business and Financial Operations Occupations,Management Analysts,4311,3031,9722,5254,3985,16.15,6.07,11.45,13.86,11.23,6.01,2.75,5.3,4.84,4.23
Business and Financial Operations Occupations,Market Research Analysts and Marketing Specialists,43323,599404,552770,16902,13260,5.55,4.52,3.8,1.73,3.29,1.09,1.57,1.82,1.08,1.49
Business and Financial Operations Occupations,"Meeting, Convention, and Event Planners",5261,5285,6187,450,1365,12.15,8.74,8.36,7.75,27.3,3.77,2.44,4.69,4.04,9.02
Business and Financial Operations Occupations,Miscellaneous Business Operations Specialists,11409,2632,4012,683,2564,9.45,22.3,13.74,11.78,21.19,7.81,15.08,9.03,5.94,7.57
Business and Financial Operations Occupations,Miscellaneous Financial Specialists,1,186,31,9,178,0.02,9.8,10.35,3.16,44.61,0.02,2.48,2.58,1.18,22.45
Business and Financial Operations Occupations,Property Appraisers and Assessors,16,0,3,3,0,16.08,,,,,4.8,,,,
Business and Financial Operations Occupations,"Tax Examiners, Collectors and Preparers, and Revenue Agents",445,691,488,1071,523,49.39,43.19,12.5,19.84,26.13,16.71,17.32,8.85,7.79,15.2
Business and Financial Operations Occupations,Training and Development Specialists,3035,2418,4548,2144,1002,7.9,16.79,14.44,22.57,13.73,4.64,8.4,7.57,11.37,8.22
Community and Social Service Occupations,Counselors,11362,18117,24917,17072,9864,8.04,11.54,11.75,8.71,9.18,5.24,6.98,6.14,4.36,4.73
Community and Social Service Occupations,"Directors, Religious Activities and Education",0,0,0,0,0,,,,,,,,,,
Community and Social Service Occupations,Miscellaneous Community and Social Service Specialists,3409,1831,4026,1938,2333,58.77,13.36,12.13,31.77,18.37,29.05,7.24,5.89,14.99,9.21
Community and Social Service Occupations,Miscellaneous Religious Workers,5,2,2,2,3,,,,,0.96,,,,,0.7
